rspo,id_organ_prowadzacy
132159,258287
264435,256997
268196,181
268317,181
83769,181
276342,276340
278413,278412
278660,264637
478740,478729
478768,478761
478819,261749
84698,182
84700,182
29127,2773
35149,2773
35239,2773
31660,2773
126075,2773
34910,2773
69346,271057
69804,271057
73744,183
81048,183
126481,247080
272348,183
272346,183
63437,183
272356,183
272353,183
73745,183
272360,183
272358,183
63436,183
276285,276281
21744,244117
84833,184
84880,184
84926,184
84978,184
85053,226403
85143,184
85174,184
85217,184
85285,262083
106951,258033
107021,276138
110428,261779
120651,269883
121517,256604
127283,259300
132012,262083
132045,274809
196389,184
265862,265861
268789,268787
269117,269113
269117, 269115
275914,275911
277563,277561
478045,478044
478854,481140
480366,275289
92318,185
92320,185
92840,185
92841,264350
92857,185
92877,185
92933,185
129910,253668
264352,264350
269816,269815
20695,2495
73782,2495
73784,2495
104020,2495
104726,250735
104888,186
114886,186
114695,186
22097,187
24469,187
24094,187
72433,188
79025,188
111705,188
84525,188
277791,188
72436,188
3734,188
3719,189
6926,189
3720,189
86408,196205
91513,196205
14361,2495
18892,2495
24696,2495
18889,2495
18886,2495
276034,2495
16864,2495
18894,2495
124204,2495
85131,2495
85133,2495
85135,2495
20696,2495
74292,2495
74294,2495
21343,2495
24697,205320
66519,190
68317,190
68384,242454
68407,190
68469,190
68633,190
69808,272181
69991,190
70069,190
70273,190
70405,190
70496,190
83265,190
124939,190
124769,190
111634,273803
129366,257529
130143,254408
130144,254410
264404,264403
16863,203304
18893,2495
73703,2495
85130,2495
73733,2495
85136,2495
73721,2495
276031,2495
73778,2495
64403,191
131914,191
73494,191
64411,191
64420,191
65282,191
68472,217799
70754,191
73742,191
130045,191
104840,192
104841,478815
106133,192
48399,193
49123,193
7498,2496
262363,2496
7570,2496
125914,2496
43564,2496
44480,2496
19482,2
93113,2
103571,2
24099,205179
38697,2496
38698,2496
38702,2496
50388,2496
50382,2496
53069,2496
50441,240464
50449,262142
50466,245698
53070,2496
64977,2496
69250,2496
57738,194
62303,194
64056,194
69254,268897
69256,259847
69545,218190
69546,218191
69953,194
72299,194
72417,194
72418,194
82806,478813
83702,259854
68494,259854
86792,259991
50455,259991
86808,262142
110046,259277
